,date,user,text,result
0,2020/3/14 1:33,KAClNE,#sad #annoyed #noonetext,#sad #annoyed #noonetext
1,2020/3/14 1:37,brysknees,RT @KAClNE: #sad #annoyed #noonetext,#sad #annoyed #noonetext
2,2020/3/14 1:39,Mugetsu66026671,RT @xxxCumJunkiexxx: Angry girl. ,angry girl
3,2020/3/14 1:50,LaurenABrignac,Those of u that feel the need to stockpile hand wipes,those that feel need stockpile hand wipes
4,2020/3/14 1:52,Austin_Brink,RT @LaurenABrignac: Those of u that feel the need to stockpile hand wipes,those that feel need stockpile hand wipes
5,2020/3/14 1:55,Glovjuice,#sore hi serge I鈥檓 free to quarantine with you on Monday or any other day next week. are you also free because I wanna quarantine with you on Monday or any other day. Plz let me know if you are free on Monday to quarantine or any other day because I would like to quarantine with you https://t.co/bJ1jf9E0BV,#sore serge free quarantine with monday other next week also free because wanna quarantine with monday other know free monday quarantine other because would like quarantine with
6,2020/3/14 1:55,DesiDancer01,Alright I'm taking a nap. Wake me up when everything is dealt with馃う馃徎鈥嶁檧锔忦煓堭煉. #tired #annoyed #frustrated #FridayFeeling,alright taking wake when everything dealt with #tired #annoyed #frustrated #fridayfeeling
7,2020/3/14 2:02,Crazy4Swayze420,Hulkbuster vinyl pop figure.,hulkbuster vinyl figure
8,2020/3/14 2:09,avocadofatty,@ayexmadeline Mines still deciding lmao honestly they can鈥檛 even decide how finals will take place and they are next week #annoyed,mines still deciding lmao honestly they even decide finals will take place they next week #annoyed
9,2020/3/14 2:12,MrsKeay,Ugh. @hotelsdotcom is not returning any calls/messages. Literally hanging up on me without answering. SO FRUSTRATING. The website doesn鈥檛 work and I cannot get through! I need to cancel a reservation for this weekend! #annoyed,returning calls messages literally hanging without answering frustrating website doesn work cannot through need cancel reservation this weekend #annoyed
10,2020/3/14 2:13,always_luckyy_,Bought a new perfume and I thought it was a certain scent. I sprayed it and it smells like a fucking bouquet of flowers. I loathe floral smelling perfumes 馃あ馃あ馃あ馃あ #angry,bought perfume thought certain scent sprayed smells like fucking bouquet flowers loathe floral smelling perfumes #angry
11,2020/3/14 2:23,RovinMauhay,laHat na lang naWala sa aMen haysSt :(((( hUhUhu #painful #depressing #IneedcoMforT,lahat lang nawala amen haysst huhuhu #painful #depressing #ineedcomfort
12,2020/3/14 2:23,jarrynashhhhh,RT @RovinMauhay: laHat na lang naWala sa aMen haysSt :(((( hUhUhu #painful #depressing #IneedcoMforT,lahat lang nawala amen haysst huhuhu #painful #depressing #ineedcomfort
13,2020/3/14 2:35,Mellzii2,Soooo much noise #annoyed,soooo much noise #annoyed
14,2020/3/14 2:38,queenie_pinkzz,This thing better be under control time I ready to leave Bim #annoyed,this thing better under control time ready leave #annoyed
15,2020/3/14 2:39,AlisonGF_2018,#annoyed,#annoyed
16,2020/3/14 2:42,PuneetSodhi4,RT @TheTwinPowers: Seeing cruelty can make us #angry instead let it strengthen your resolve to be compassionate and #loving. ,seeing cruelty make #angry instead strengthen your resolve compassionate #loving
17,2020/3/14 3:04,MilwaukeeHotBuy,RT @MilwaukeeHotBuy: Corona Virus- Calming Your Children's Fears! https://t.co/ptkpsra7Hc #denver,corona virus calming your children fears #denver
