,date,user,text,result
0,2020/3/13 20:26,mick_a11,#Crazy Video of an idiot cutting down #cctv cameras in #Middlesbrough ,#Crazy Video idiot cutting down #cctv cameras #Middlesbrough
1,2020/3/13 20:26,rolande11,#MSNBC why do the reporters pass the mic around at the White House #crazy,#MSNBC reporters pass around White House #crazy
2,2020/3/13 20:32,PatricioFidel4,RT @WorldsGirls69: #NakedFriday with the wonderful and so hot ,#NakedFriday with wonderful
3,2020/3/13 20:33,blondblueberry_,This is just a small portion of what my husband ran into today.  #Costco #coonrapids #Minnesota #crazy #thisiscrazy #COVID19US #Covid_19 #alwayshaveanemergencystockofthebasics #Lastminute #StayHome #WashYourHands https://t.co/YZCkO3ddij,This just small portion what husband into today #Costco #coonrapids #Minnesota #crazy #thisiscrazy #COVID #Covid #alwayshaveanemergencystockofthebasics #Lastminute #StayHome #WashYourHands
4,2020/3/13 20:34,AnonymousRex0,@jtpipkin75 Blahahahahahaha my mentally ill friend,Blahahahahahaha mentally friend
5,2020/3/13 20:34,tuneotune,#beauty #fashion #music #crazy #shopping #love #womensfashion Kids Girls Skater Summer Strap Lace Party Tutu Princess Pageant Party Dress Sundress https://t.co/YNoFlIjPai https://t.co/pWk0QZ2fa9,#beauty #fashion #music #crazy #shopping #love #womensfashion Kids Girls Skater Summer Strap Lace Party Tutu Princess Pageant Party Dress Sundress
6,2020/3/13 20:36,worldroamer01,Disrespectful average mam basketball play! ,Disrespectful average basketball play
7,2020/3/13 20:36,ales_vavra,"@Obi1Kulinobi @kweenolog @alan_kooper Navic ted tam ""resi"" kdy a jak se ma kdo testovat a kdo to urci... Vypada to",Navic resi testovat urci Vypada
8,2020/3/13 20:39,sportstreasures,About the only decent photo i could get of the damage. Saw alot. Crazy how 1 house gets destroyed  and the neighbors house stays normal. #tornado #crazy @ Nashville,About only decent photo could damage alot Crazy house gets destroyed neighbors house stays normal #tornado #crazy Nashville
9,2020/3/13 20:47,donna84351552,RT @lydcole: Are you 12 - 16 yrs old or know a young person who is,know young person
10,2020/3/13 20:47,mnhippi,I鈥檒l take adventure for 100 Alex ! PSP bound #adventure https://t.co/zFWwGKSGbC,take adventure Alex bound #adventure
11,2020/3/13 20:48,LaurieSearch,"RT @TravelPixPro1: ""#USNationalParks"" by Shawn O'Brien",#USNationalParks Shawn Brien
12,2020/3/13 20:48,clearpath_coach,I've got something potentially very exciting coming up... ,something potentially very exciting coming
13,2020/3/13 20:48,DanniPiper,I have another kids' book available through Amazon! #book #kidsbooks #fantasy #adventure #ebooks #Knights #Princess https://t.co/kRW86Fr3OU,have another kids book available through Amazon #book #kidsbooks #fantasy #adventure #ebooks #Knights #Princess
14,2020/3/13 20:49,Gruenwa87421599,RT @ExploreNZtravel: New Zealand adventure travel activities are available all around the country; it all depends on what you want to do as鈥,Zealand adventure travel activities available around country depends what want
