,date,user,text,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,result
0,2020/3/14 0:19,KellsterSkelter,RT @ALimitedLife1: To my far away friend:,nan,nan,nan,nan,away friend
1,2020/3/14 0:19,70sdisconights,#NowPlaying Megatron Man by Patrick Cowley! Find us at: Google Play: https://t.co/lirLoRs1Ot Apple Store: https://t.co/mw3yTrZpWU Web Page: https://t.co/cXYoMn6RKl #Funk #DiscoMusic #Oldies #70s #DiscoNights #OldiesButGoodies,nan,nan,nan,nan,#nowplaying megatron patrick cowley find google play apple store page #funk #discomusic #oldies #disconights #oldiesbutgoodies
2,2020/3/14 0:19,kelly_mustoe,RT @ALimitedLife1: To my far away friend:,nan,nan,nan,nan,away friend
3,2020/3/14 0:20,theunknowngabz,My first ever blog post link here :   https://t.co/LISFVWkNQz                                                        #TOTP #mentalhealth #mystory #depression #MentalHealthAwareness #blog #QuarantineAndChill,nan,nan,nan,nan,first ever blog post link here #totp #mentalhealth #mystory #depression #mentalhealthawareness #blog #quarantineandchill
4,2020/3/14 0:20,Gummbyman32,RT @CultPopCulture: If #COVID19 is like #1918flu #pandemic real #fear is that a dip in number of cases in the near term will lead to apath鈥  the flu and pneumonia also declined. https://t.co/B708b3DCUw,nan,nan,nan,nan,#covid like #pandemic real #fear that number cases near term will lead apath pneumonia also declined
5,2020/3/14 0:21,SilenceNotGold,Dr Paul Offit says the best way to sell #vaccines is to use #outbreaks and #fear... He is vaccine patent owner &amp; director Vaccine Education Center at Children's Hospital of Philadelphia https://t.co/dGqbGehZlE via @YouTube,nan,nan,nan,nan,paul offit says best sell #vaccines #outbreaks #fear vaccine patent owner director vaccine education center children hospital philadelphia
6,2020/3/14 0:21,PowersLaton,RT @PowersLaton: Please help. I beg you. Nothing has worked. This hasn鈥檛. I鈥檓 dead. #sick #healthy #Medicare4All #SouthCarolina #mentalheal鈥,nan,nan,nan,nan,please help nothing worked this hasn dead #sick #healthy #medicare #southcarolina #mentalheal
7,2020/3/14 0:22,Egreeedy,RT @DrThomasPaul: Hundreds of Birds Fall From the Sky During 5G Test in The Netherlands,nan,nan,nan,nan,hundreds birds fall from during test netherlands
8,2020/3/14 0:22,salalondonradio,#NowPlaying   https://t.co/iBrFuggocy - Soul Funk AcidJazz RnB Lounge,nan,nan,nan,nan,#nowplaying soul funk acidjazz lounge
9,2020/3/14 0:22,e_a_1,This #Twitter account is a last ditch effort for #help. I was on Twitter before. I deleted my account because it was nonstop arguments and people trying to achieve gotcha moments. I started this account to ask for help. I鈥檝e tried everything I can. Tried #GoFundMe. Nothing.,nan,nan,nan,nan,this #twitter account last ditch effort #help twitter before deleted account because nonstop arguments people trying achieve gotcha moments started this account help tried everything tried #gofundme nothing
10,2020/3/14 0:23,DISCONETFM,Now Playing: Michael Jackson - Bad | #80s #disco #funk #radio #nowplaying  |  [[[[[   TUNE IN:  https://t.co/Emm2VCiflJ   ]]]]] https://t.co/mg6B4KRYoQ,nan,nan,nan,nan,playing michael jackson #disco #funk #radio #nowplaying tune
11,2020/3/14 0:23,PsycHOTica93,RT @PsycHOTica93: DWP sanctions me saying I'm fit for work when I'm not &amp; I'm also unable to get a job no matter what. So this is a last r鈥,nan,nan,nan,nan,sanctions saying work when also unable matter what this last
12,2020/3/14 0:23,BloggingBabesRT,RT @thephatgirlblog: *new mental health blog post alert*,nan,nan,nan,nan,mental health blog post alert
13,2020/3/14 0:23,moniquestover,Please stop creating the apocalypse you fear. #coronavirus #fear,nan,nan,nan,nan,please stop creating apocalypse fear #coronavirus #fear
14,2020/3/14 0:23,MikeAref,#COVID19 is not as dangerous as #fear #loneliness and #selfishness. #washyourhands #socialdistancing #sharetheTP https://t.co/aZq7kulupi,nan,nan,nan,nan,#covid dangerous #fear #loneliness #selfishness #washyourhands #socialdistancing #sharethetp
15,2020/3/14 0:23,Reemdaif3,The things you hide in your heart eats you alive馃挃馃嬧湪,nan,nan,nan,nan,things hide your heart eats alive
16,2020/3/14 0:24,DrBigRedButton,#COVID19 is not as dangerous as #fear #loneliness and #selfishness. #washyourhands #socialdistancing #sharetheTP https://t.co/OaCrARYKaa,nan,nan,nan,nan,#covid dangerous #fear #loneliness #selfishness #washyourhands #socialdistancing #sharethetp
17,2020/3/14 0:24,AnnalisaKlebers,Support and love one another during this difficult time. #humanity #concern #live #help #reachout #coronavirus #care https://t.co/20Gfdb5loG,nan,nan,nan,nan,support love another during this difficult time #humanity #concern #live #help #reachout #coronavirus #care
18,2020/3/14 0:24,goshinjitsu,#COVID19 is not as dangerous as #fear  #loneliness and #selfishness. #washyourhands #socialdistancing #sharetheTP https://t.co/Pu2cSorrK1,nan,nan,nan,nan,#covid dangerous #fear #loneliness #selfishness #washyourhands #socialdistancing #sharethetp
19,2020/3/14 0:24,AmazinglyMoni,I miss the days when the general population wasn't hip to plant based milks. 馃槕 ,nan,nan,nan,nan,miss days when general population wasn plant based milks
20,2020/3/14 0:25,LisaRidgway8,RT @GenomeBC: #Genomics #MentalHealth #Depression #Pharmacogenomics #MSFHR #GenomeBC @J9_Austin @StirlingBryan @GenomeCanada ,nan,nan,nan,nan,#genomics #mentalhealth #depression #pharmacogenomics #msfhr #genomebc
21,2020/3/14 0:25,Reemdaif3,The things you hide in your heart eats you alive馃挃馃嬧湪,nan,nan,nan,nan,things hide your heart eats alive
22,2020/3/14 0:25,RZChipMD,RT @MLRobertsonMD: On #call for the dept of #geriatrics at @JohnsHopkinsDOM &amp; the calls are coming in. There is so much #fear around #COVID鈥,nan,nan,nan,nan,#call dept #geriatrics calls coming there much #fear around #covid
23,2020/3/14 0:25,willscottb,Trauma flashbacks,nan,nan,nan,nan,trauma flashbacks
24,2020/3/14 0:25,SJWickham,Now isn鈥檛 a time to be fearful of appearing fearful,nan,nan,nan,nan,time fearful appearing fearful
25,2020/3/14 0:25,knockcrock,RT @Sorial: Although I am certainly not dismissing the effects of the #Coronavirus of far greater concern is the fragile state of humanity鈥,nan,nan,nan,nan,although certainly dismissing effects #coronavirus greater concern fragile state humanity
26,2020/3/14 0:26,deffrenchies,#EnEcoute 馃帶,nan,nan,nan,nan,#enecoute
27,2020/3/14 0:26,JenEric15191416,RT @DrThomasPaul: Mainstream spreads #FEAR...,nan,nan,nan,nan,mainstream spreads #fear
28,2020/3/14 0:26,deefordentist,At #deefordentist we refuse to live in #fear and #negativity. Instead we鈥檒l come from a place of #caring #love &amp; #commonsense .  We鈥檙e here to #serve  ,nan,nan,nan,nan,#deefordentist refuse live #fear #negativity instead come from place #caring #love #commonsense here #serve
29,2020/3/14 0:26,ArtArend,RT @Senfberg: Rund 150 Kan盲le auf #YouTube  die von #funk betrieben werden  geh枚ren ebenfalls zum Angebot der #脰R. Der #Rundfunkbeitrag ist bereits viel zu hoch! Filme,nan,nan,nan,nan,rund #youtube #funk betrieben werden ebenfalls angebot #rundfunkbeitrag bereits viel hoch filme
30,2020/3/14 0:26,Jokerjitsu,#COVID19 is not as dangerous as #fear,nan,nan, #loneliness and #selfishness. #washyourhands #socialdistancing #sharetheTP https://t.co/Qty9p8ofXI,nan,#covid dangerous #fear
31,2020/3/14 0:26,ArtArend,RT @NicolasWestrich: Kannste dir nicht ausdenken 馃あ,nan,nan,nan,nan,kannste nicht ausdenken
32,2020/3/14 0:26,Reemdaif3,Just like trhe moon...lonly and beautiful馃挃馃嬧湪,nan,nan,nan,nan,just like trhe moon lonly beautiful
33,2020/3/14 0:26,4MusicMarketing,RT @3rox3ro: CORONAVIRUS got the U.S Like ,nan,nan,nan,nan,coronavirus like
34,2020/3/14 0:27,AsalAthi,RT @MadurakaranMass: Sleepless night 馃槳馃毝,nan,nan,nan,nan,sleepless night
35,2020/3/14 0:27,Reemdaif3,The things you hide in your heart eats you alive馃挃馃嬧湪,nan,nan,nan,nan,things hide your heart eats alive
36,2020/3/14 0:27,70sdisconights,#NowPlaying Sexy by Mfsb! Find us at: Google Play: https://t.co/lirLoRs1Ot Apple Store: https://t.co/mw3yTrZpWU Web Page: https://t.co/cXYoMn6RKl #Funk #DiscoMusic #Oldies #70s #DiscoNights #OldiesButGoodies,nan,nan,nan,nan,#nowplaying sexy mfsb find google play apple store page #funk #discomusic #oldies #disconights #oldiesbutgoodies
37,2020/3/14 0:27,galindotron,Does #thedevil get #scared if she #dies in her #dreams #rainbowkittysurprise https://t.co/hR8xz4BLER,nan,nan,nan,nan,does #thedevil #scared #dies #dreams #rainbowkittysurprise
38,2020/3/14 0:27,covid19polls,RT @djidletums: #Corona #COVID19USA #COVID19 #CoronaVirusUpdate 馃狆煔馃#coronavirusuk #CoronavirusOutbreak #FactsNotFear #COVID2019  #panickbuy鈥,nan,nan,nan,nan,#corona #covid #covid #coronavirusupdate #coronavirusuk #coronavirusoutbreak #factsnotfear #covid #panickbuy
