,date,user,text,Unnamed: 3,Unnamed: 4,Unnamed: 5,result
0,2020/3/13 19:59,ShreePanicker,RT @ishafoundation: Is #happiness an elusive goal that happens in your life only once in a while? @SadhguruJV meticulously takes apart man,nan,nan,nan,#happiness elusive goal that happens your life only once while meticulously takes apart
1,2020/3/13 19:59,Lucky_khan007,RT @_ZiDDiKhaN: #Happy #birthday,nan,nan,nan,#Happy #birthday
2,2020/3/13 19:59,pea_era,#love#beautiful#art#happy#cute#girl#fun#smile#family#sky#life#design#lifestyle#handmade#artist#flowers #clay tool https://t.co/dLwaBWhPiE https://t.co/gjSHNrQRZJ,nan,nan,nan,#love#beautiful#art#happy#cute#girl#fun#smile#family#sky#life#design#lifestyle#handmade#artist#flowers #clay tool
3,2020/3/13 20:02,GeorgeEliseo,RT @jennavehvi: A whole Roman neighborhood singing a popular Italian song Volare from their balconies and waving at each other. An amazin,nan,nan,nan,whole Roman neighborhood singing popular Italian song Volare from their balconies waving each other amazin
4,2020/3/13 20:02,hollywhoh,RT @ProgressTribe: Take time to look at the little things that make up the big picture.,nan,nan,nan,Take time look little things that make picture
5,2020/3/13 20:02,ReeceOsei,Waaaooww,nan,nan,nan,Waaaooww
6,2020/3/13 20:02,QualitySproduct,BUY NOW:https://t.co/o6CnABJGfh,nan,nan,nan,
7,2020/3/13 20:02,ShannonRHulbert,Good job humans! ,nan,nan,nan,Good humans
8,2020/3/13 20:02,Voice4Silent,Lunch #PositiveVibes #golive #love https://t.co/K9Lt6vSCxg,nan,nan,nan,Lunch #PositiveVibes #golive #love
9,2020/3/13 20:02,SevenShepherd,"Which was [the son] of Aminadab, which was [the son] of Aram, which was [the son] of Esrom, which was [the son] of Phares, which was [the son] of Juda, Luke 3:33 #Bible #Love #God",nan,nan,nan,Which Aminadab which Aram which Esrom which Phares which Juda Luke #Bible #Love #God
10,2020/3/13 20:03,ini915,Day 11,nan,nan,nan,
11,2020/3/13 20:03,manateesb4,RT @jennavehvi: A whole Roman neighborhood singing a popular Italian song Volare from their balconies and waving at each other. An amazin,nan,nan,nan,whole Roman neighborhood singing popular Italian song Volare from their balconies waving each other amazin
12,2020/3/13 20:03,Lornaryaan,RT @jennavehvi: A whole Roman neighborhood singing a popular Italian song Volare from their balconies and waving at each other. An amazin,nan,nan,nan,whole Roman neighborhood singing popular Italian song Volare from their balconies waving each other amazin
13,2020/3/13 20:03,kabirSroy,nikla hoon aaj iss raaste pe phir se kya pta mout hi gale lga le mujhe apna smjh krr..,nan,nan,nan,nikla hoon raaste phir mout gale mujhe apna smjh
14,2020/3/13 20:03,semamuhovic,RT @jennavehvi: A whole Roman neighborhood singing a popular Italian song Volare from their balconies and waving at each other. An amazin,nan,nan,nan,whole Roman neighborhood singing popular Italian song Volare from their balconies waving each other amazin
15,2020/3/13 20:03,frugalmaniac,We need the #love N #respect #Jesus taught us to #share https://t.co/fA3QFmxPPM  #JesusLoves #JesusSaves https://t.co/wCQ3UxkAyU,nan,nan,nan,need #love #respect #Jesus taught #share #JesusLoves #JesusSaves
16,2020/3/13 20:03,glsociety,And we know that all things #work #together for #good to them that #love #God,nan,nan,nan,know that things #work #together #good them that #love #God
17,2020/3/13 20:03,AfricaWorldNews,Happy Birthday to a community leader,nan,nan,nan,Happy Birthday community leader
18,2020/3/13 20:03,VIRGINI00113302,@XXL Very Horny Please Join Here =&gt; https://t.co/IX4I8P5v6d,nan,nan,nan,Very Horny Please Join Here
