,date,user,text,result
0,2020/3/13 23:13,Adsword01,@Dahnilanzar Diluar negri (china,diluar negri china
1,2020/3/13 23:13,24ki54u,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
2,2020/3/13 23:13,HassCho,RT @Avargas2403: #Feelings 馃挅 If you love someone,#feelings love someone
3,2020/3/13 23:13,walkerwaffles,@JonAnthony7 @ScottWalker So no bunk beds for Alex and Matt at donor condo ,bunk beds alex matt donor condo
4,2020/3/13 23:13,Yoli03_,Yo: Y si mezclo mantequilla con palomitas?,mezclo mantequilla palomitas
5,2020/3/13 23:13,travi44,@TheLoyalO Yup,
6,2020/3/13 23:14,kinakomochimogu,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
7,2020/3/13 23:14,HighThoughts4Ux,John is the man with ears that consume and legs that warm humans #HighThoughts #High #Weed #stoner #stoned #420 #CannabisCommunity #friday #feelings #family,john with ears that consume legs that warm humans #highthoughts #high #weed #stoner #stoned #cannabiscommunity #friday #feelings #family
8,2020/3/13 23:14,ScreenTravels,RT @jackiedeburca: Without a doubt an #amazing guide and #perspective on #Barcelona: a magical city full of energy,without doubt #amazing guide #perspective #barcelona magical city full energy
9,2020/3/13 23:14,4f345,RT @INSTINC26289171: WILDERNESS,wilderness
10,2020/3/13 23:14,SilverSummerSun,@FreedomsAngel1 Let go and Let God. I get it. I don't like it,like
11,2020/3/13 23:14,4f345,RT @INSTINC26289171: EXCEPTIONAL,exceptional
